metric,mean,std,formatted
roc_auc,0.8756153631858233,0.014023786130147382,0.875615 +/- 0.014024
eer,0.2129894659388798,0.012217604174076526,0.212989 +/- 0.012218
tar_at_far_1e-2,0.09429024134906487,0.04579204072676786,0.094290 +/- 0.045792
accuracy,0.8968762655556285,0.016358218582318364,0.896876 +/- 0.016358
precision,1.0,0.0,1.000000 +/- 0.000000
recall,0.7926133167368397,0.02528709379831744,0.792613 +/- 0.025287
f1,0.8840900852881353,0.015619866864302034,0.884090 +/- 0.015620
far,0.0,0.0,0.000000 +/- 0.000000
frr,0.20738668326316037,0.025287093798317447,0.207387 +/- 0.025287
