metric,mean,std,supported,formatted
roc_auc,0.9458234104721578,0.003358886924026546,True,0.9458 +/- 0.0034
eer,0.14962874312914462,0.008031946500685514,True,0.1496 +/- 0.0080
tar_at_far_001,N/A,N/A,False,NOT SUPPORTED
tar_at_far_0001,N/A,N/A,False,NOT SUPPORTED
accuracy,0.850991102879176,0.008248973414777289,True,0.8510 +/- 0.0082
precision,0.9213472039053044,0.001857118362555764,True,0.9213 +/- 0.0019
recall,0.852117489681724,0.009295068147209717,True,0.8521 +/- 0.0093
f1,0.8853601347193365,0.005601095636150394,True,0.8854 +/- 0.0056
far,0.15137497594001323,0.008540980577459667,True,0.1514 +/- 0.0085
frr,0.147882510318276,0.00929506814720969,True,0.1479 +/- 0.0093
latency_mean_ms,0.0023842511476897745,0.00036828677553274496,True,0.0024 +/- 0.0004
